titll,point,review
배틀쉽,1,영화만큼 무식한 티 내는 모지리들덕에 더 꼴보기 싫은 영화 
로그북,10,잊지말아야 할 그날.잊지말아야할 그들도 있었음을 
백악관 최후의 날,10,너무 재밌는디... 영화관에서 볼껄 ㅜ 
유체이탈자,8,시사회로 먼저 봤는데 난 재밌게 봄 배우들 연기도 좋고 마지막 액션씬도 좋았음 박지환 배우랑 윤계상 배우 깐부로 만나서 더 좋았음 ㅋㅋㅋ 
엔칸토: 마법의 세계,10,엔칸토 마법의 세계.. 
유체이탈자,10,연기 좋고 지루하지 않고 그냥 재밌다! 
장르만 로맨스,10,내용은 무겁지만 가볍게 보기 좋았어요! 
강릉,7,강릉판 아수라 유오성의 포스는 대체불가 
유체이탈자,10,최근 본영화중 가장 스릴넘치는 영화네요 
이터널스,8,"지금까지의 마블 히어로물과는 확연한 차이가 있으므로 화려한 액션과 스펙타클함을 기대한다면 다소 지루할 수 있음. 다만, 개연성은 약하지만 전작들과 스토리상의 맥락은 유지되므로 앞으로의 마블영화를 계속 볼 생각이라면 반드시 봐야한다고 생각함.기존과는 다르게 인간의 문명과 우주적 존재들에 관한 새로운 포문을 여는 첫번째 시리즈이기때문에 개인적으로는 영화가 끝난 후에도 많은 생각을 하게 해줌.그리고 전작들보다 더 심오한 메세지들이 많이 숨겨져 있어서 그걸 알아가는 재미도 있음~앞으로의 시리즈를 계속 볼 생각이라면 추천합니다.마블팬으로써는 만족했습니다~!^^ "
엔칸토: 마법의 세계,10,시사회로 보고 음악 너무 좋아서 주말에 또 보려고 예매함ㅠㅠ!!! 노래 완전 힐링ㅠㅠ 
나잇 & 데이,9,-
